Account Number,Bank Code
01197474,0042
06839993,0061
92621781,0065
44036349,0007
24964776,0018
40316540,0035
10835360,0002
64896771,0089
31591201,0003
70159606,0059
76003468,0010
64327884,0002
72445859,0013
20934901,0061
30982240,0062
11473726,0016
81322506,0022
44141870,0069
42921479,0079
42455857,0097
12568060,0013
68039475,0035
34085747,0079
00340652,0051
00103242,0006
67669079,0059
65466153,0062
75183547,0035
04177673,0050
78316249,0138
81571379,0045
30778667,0012
46067220,0089
76549268,0013
21499581,0053
22161954,0019
98129815,0036
15392682,0070
30683334,0062
19156405,0076
57595982,0059
52705609,0002
44602025,0006
34033104,0010
56210933,0097
41686177,0059
49871392,0001
69949548,0138
40338368,0059
61630741,0036
32654158,0075
74695806,0019
54604975,0007
61898411,0059
83064701,0062
16735246,0056
13738677,0062
37548449,0066
35493931,0076
12182730,0007
77175595,0021
58489793,0020
42387215,0005
37261076,0006
55319271,0138
58476794,0062
38077464,0045
00666072,0003
36225940,0050
39386724,0066
88653661,0005
50751351,0012
91851474,0069
46416035,0050
68733401,0001
35368477,0062
34534696,0007
06700622,0007
81277068,0089
77918518,0068
31502515,0016
47015800,0036
96207496,0138
56011044,0097
14478014,0070
74468754,0020
88350035,0056
64387871,0089
11183160,0043
89626394,0079
10941325,0022
65894627,0022
46614426,0063
48107392,0065
29259566,0059
47270218,0013
54186734,0022
60221695,0006
28591524,0078
73281190,0089
17895484,0053
65840746,0006
93638893,0002
02005631,0017
13855073,0042
56105270,0064
63487566,0045
49081317,0021
30291478,0018
03656753,0054
29981523,0011
20466322,0007
74877271,0089
11400635,1015
18490082,0022
51832057,0016
52642129,0070
96489619,0063
13817508,0013
88329039,0005
50054015,0074
47922492,0075
11992154,0005
33254108,0043
94409967,0036
27556336,0053
39909107,0079
45429897,0013
97951834,0048
49233641,0043
61808702,0013
91558565,0011
83422967,0070
20419345,0064
42136741,0035
79668228,0064
69671000,0074
52618918,0003
21972576,0043
20813700,0022
15878805,0012
33011270,0070
15390360,0011
05109776,0042
37160601,0138
15994402,0021
34620980,0053
37841788,0012
27090807,0061
04976735,0013
30511798,0064
11920439,0050
62642046,1015
84812240,0006
33017930,0075
20936089,0056
44075832,0043
88444029,0036
56357985,0017
90195334,0074
04098653,0050
08418619,0043
93083115,0045
60829826,0076
19182367,0010
41177225,0138
69741147,0063
87919629,0017
98285256,0064
00544254,0006
12617390,0097
50158958,0036
51100760,0050
90467850,0059
30017265,0010
36945309,0021
98321718,0069
95869060,0051
35553460,0065
34824520,0011
87350911,0066
20629454,0023
45698529,0062
03606924,0012
36883217,0050
18173292,0006
57414168,0003
70920220,0017
94409183,0021
47556815,0069
60822388,0089
08608742,0064
56348972,0036
44145560,0061
36277781,0070
57605876,0019
02775281,0079
72872302,0051
36744178,0022
10492244,0035
62013168,0053
59897768,0066
01412250,0011
25604850,0011
23046601,0076
47894563,0062
27391597,0051
41143292,0001
52249638,0076
53822332,0019
17431443,0048
90614200,0070
27798556,0011
66218721,0017
02286311,0035
41721553,0045
94384669,0050
81062859,0097
55534345,1015
82258796,0051
91938370,0070
24709870,0138
00346736,0054
38766682,0013
04256031,0069
76969856,0056
68662251,0003
87894297,0061
30494764,0012
37981966,0036
80187761,0078
22793994,0005
22075013,0002
64717222,0020
88653401,0074
15597136,0045
52944247,0068
98648581,0078
25070792,0061
29334630,0006
21515189,0050
29535859,0048
96753575,0036
33630165,0097
31840252,0019
00798631,0061
41939615,0062
43298344,0019
00695876,0089
08991037,0035
13874007,0019
05804001,0002
50923926,0036
92603743,0051
77433537,0062
46762773,0048
21616420,0078
37073470,0068
80778867,0051
73440600,0035
56348431,0017
49236474,0018
69802556,0059
08882019,0070
17305387,0066
08926302,0020
28484178,0048
66559155,0017
73561181,0066
36049136,0005
56286040,0063
04236524,0138
33833158,0069
05748142,0051
48637199,0048
35492356,0051
41247480,0016
33201365,0074
33167269,0013
24582011,0001
10231687,0068
19989483,0016
96458739,0036
71388679,0019
19442953,0005
79328251,0062
54340038,0055
88192327,0021
72238371,0070
71780595,0065
80410732,0019
71097066,0012
31392977,0064
14974866,0006
43342466,0003
76690818,0003
27211985,0062
99628375,0061
89817621,0138
77246987,0032
17946906,0006
28701279,0010
81290649,0006
52164987,0002
92401977,0001
75066417,0079
39701177,0017
11853915,0078
37675078,0002
43701518,0010
17240721,0074
80293414,0002
95307370,0005
14226872,0023
56070341,0068
49571124,0062
76605112,0018
64311375,0056
24650549,1015
07889910,0012
80798317,0051
22515907,0065
82372882,0055
72533710,0016
50868538,0066
04162666,0011
77790621,0019
11098896,0045
43348101,0007
12842922,0078
88926114,0048
75152468,0054
53039479,0006
59957033,0054
58678425,0050
80047168,0097
26709264,0035
33598765,0097
40688231,0021
79667150,1015
32834673,0013
68867597,0013
40588308,0065
74200337,0023
68733205,0050
86447844,0017
39919174,0050
02640595,0070
70952004,0061
55143981,0065
25100401,0050
21350434,0045
64251494,0053
39617559,0089
88488282,0075
64092819,0061
89177551,0043
36299351,0022
87543525,0043
08931143,0023
16513359,0005
46009550,0063
87306516,0074
09834987,0068
84637818,0053
16090168,0050
03764545,0051
95988386,0018
97493687,0003
58442200,0017
59746237,0042
27969658,0065
49472107,0138
70416312,1015
54172173,0005
37023503,0019
08210921,0062
42248663,0002
44691949,0076
50424330,0042
39307636,0001
18463090,0021
02536070,0002
70505477,0065
41488558,0003
07058266,0138
96228818,0017
22527050,1015
37756483,0007
48866837,0076
15608113,0138
90641861,0036
74084381,0016
32988263,0065
06335076,0011
45419450,0079
10720214,0019
79858601,0019
40589512,0076
82044986,0055
23237610,0053
07037831,0036
02030474,0051
07308752,0076
05920099,0076
39222188,0045
05919963,0020
27808322,0019
35380940,0097
08337770,0017
45296065,0001
30974558,0010
91281403,0010
05812347,0042
12397274,0013
42376597,0045
85331169,0089
77526500,0018
80087693,0079
36694275,0070
22328196,0036
74861462,0097
61838102,0007
78002355,0079
44232823,0003
50018751,0075
18103521,0089
57783689,0017
76123545,0079
32423253,0070
15975246,0032
44788165,0017
45773088,0054
75634592,0055
02681484,0013
19243687,0045
22855553,0003
59921541,0051
19988776,0016
30728581,0022
91759971,0022
71209103,0011
97322321,0006
43124695,0022
38042397,0051
15405336,0050
18470254,0048
46363013,1015
37675229,0045
49378141,0002
88904050,0097
15378738,0005
88902236,0051
09741466,0054
26762610,0069
44846773,0002
05768970,0070
19361057,0064
46657523,0061
55253104,0002
47833649,0065
20985908,0064
11738642,0022
07455602,0065
33313378,0050
09575603,0021
68258456,0138
41789316,0012
09098750,0043
57749324,0063
68309716,0070
09411241,0064
51208666,0138
15520406,0075
05057532,0003
73928369,0055
48489808,0012
05800254,0097
39155123,0005
27518085,0075
85860540,0059
00106493,0042
69846267,0017
12185423,0056
79730751,0055
63889184,0078
27442840,0023
46826484,0051
09867319,0065
07790144,0066
98932595,0138
17693130,0022
31552139,0002
56587339,0036
58075787,0138
91708490,0069
04413961,0018
88711350,0075
85949952,0003
05649709,0042
80064368,0007
63161174,0042
40068596,0005
18214436,0022
58717765,0007
57095990,0007
92153035,0048
15834304,0043
62385077,0045
98927707,0048
04347058,0043
24248122,0021
50421901,0019
98560331,0006
58749542,0054
23549999,0018
47715981,0019
05771118,0066
76428801,0001
10446758,0020
30439696,0064
33755614,0053
09824949,0019
94486884,0003
76600655,0076
24424591,0017
58666587,0003
66739314,0045
80842540,0055
17274701,0069
45762012,0016
13911240,0053
98630331,0005
60018361,0011
34434783,0016
73786653,0018
33617781,0075
78680637,0017
61687745,0010
45100934,0064
47110532,0075
00811694,0003
04320706,0055
26814502,0066
54811100,0138
87675978,0074
90752602,0066
24340958,0070
70123577,0055
42347385,0035
85687512,0070
63348737,0016
52836461,0054
58203046,0011
58953017,0063
79454355,0065
22294247,0005
53636445,0020
74940326,0021
33234156,0050
08639291,0036
16600881,0070
94023824,0048
73979125,0017
30260787,0079
79417837,0054
38414604,0022
28384127,0069
29863981,0043
95248306,0074
26454493,0018
07270830,0017
58191052,0021
48953558,0006
29651439,0018
48779119,0019
87441069,0013
83619095,0056
24025423,0048
00757494,0017
35236600,0013
83121619,0006
47871916,0059
31460209,0035
41516370,0065
22996565,0042
17805401,0023
97022778,0079
27817778,0050
60170079,0012
47098817,0076
42891666,0056
64755464,0068
48116938,0076
85364664,0061
00136449,0007
97991206,0066
25625294,0036
61625608,0070
84560467,0061
64944978,0078
09269755,0036
07834489,0010
99082406,0064
65639673,0043
69082542,0011
52364010,0018
32662069,0023
60810641,0002
04211626,0068
23741641,0050
15827333,0076
53369010,0056
46543330,0007
88865451,0021
28514271,0043
53774763,0001
91696344,0051
51700325,0043
46241564,0079
77006798,0076
98580344,0043
49522211,0097
49800554,0078
92151401,0032
86329758,0054
41328461,0050
80900298,0042
62023979,0089
29212114,0020
96984842,0006
11153995,0043
25131055,0012
40572569,0013
55749993,0051
95416090,0048
71897520,0076
81265909,0003
52594656,0042
11696269,0055
63158749,0022
23348528,0064
93670211,0045
56868395,0051
77055031,0065
39567592,0078
83396168,0055
89760703,0043
53797327,0013
06642715,0053
83427996,0062
21767830,0138
24288047,0059
04676825,0097
39020493,0021
79284077,0054
80449512,0010
54812578,0001
59404866,0013
50975730,0036
34712719,0074
33279841,0048
57504246,0035
43625010,0051
60802629,0069
68938446,0063
07055823,0020
89211184,0035
44903683,0079
09388715,0017
37761305,0020
34350516,0003
38047192,0021
95035363,0011
63704197,0006
10103781,0061
18131959,0043
64306052,0064
67210572,0005
31803227,0063
93054587,0048
52601750,0078
99555328,0070
80741716,0045
32774654,0059
32710228,0043
98048243,0056
65100888,0076
69452251,0063
07902008,0076
25605416,0076
72714384,0019
61951060,0020
79613026,0007
87972499,0064
63894116,0016
03145685,0079
53482409,0018
00427879,0017
17433518,0012
28167940,0138
84977780,0045
95568394,0021
70158864,0007
46588494,0021
83308156,0051
88205546,0074
74518482,0075
50313135,1015
57096225,0017
96387080,0075
90042337,0066
76612953,0019
23726919,0053
45945043,0089
14873994,0075
07279626,0021
15644209,0056
91659406,0043
09669643,0070
45660425,0003
97419725,0050
75350489,0053
41648283,0068
82486286,0078
82259198,0089
11509531,0069
91782789,0012
54540267,0055
70455276,0089
26107134,0019
87596557,0063
45543397,0050
87528902,0063
23063999,0068
73066858,0032
12876930,0043
84798565,0061
52312380,0003
05980250,0042
39271362,0075
45013742,0055
79536835,0045
83221348,0003
